3,S,1
0.2,S,1
0.2,S,1
0.2,S,1
1,S,3
0.2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
2,M,1
0,M,2
0,M,3
5,L,0
0,L,2
0,L,4
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
3,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
3,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
3,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
3,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
3,M,0
0,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
2,M,0
0.2,M,1
0.2,M,2
0.2,M,3
0.2,M,4
0.2,M,4
0.2,M,3
0.2,M,2
0.2,M,1
0.2,M,0
0.2,L,0
0.2,M,1
0.2,M,2
0.2,M,3
0.2,M,4
0.2,L,4
0.2,M,3
0.2,M,2
0.2,L,2
0.2,L,6
0.2,M,1
0.2,M,0
0.2,L,0
0.2,M,1
0.2,M,2
0.2,M,3
0.2,M,4
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0,S,6
0,S,7
0,S,8
0.2,S,5
0.2,L,7
0.2,L,4
0.2,M,3
0.2,M,2
0.2,M,1
0.2,M,0
0.2,M,1
0.2,L,8
0.2,M,2
0.2,M,3
0.2,M,4
0.2,M,4
0.2,M,3
0.2,M,2
0.2,M,1
0.2,M,0
5,B,2
